word,definition
你,儂（侬）
你們（你们）,㑚
我,我
我們（我们）,阿拉、我伲、伲
他,伊
他們（他们）,伊拉
的,个
個（个）,個（个）
點（点）,【白】眼【文】點（点）
些,眼
這（这）,箇【俗：搿】、迭
這裡（这里）,箇𡍲【異：箇墶（箇垯）】、此地
這樣（这样）,箇能介、迭能介
那,埃
那裡（那里）,埃面𡍲【異：埃面墶（埃面垯）】
哪裡（哪里）,何裡𡍲（何里𡍲）【異：何裡墶（何里垯）】
裡面（里面）,裡向（里向）
外面,外頭（外头）
什麼/什麽（什么）,啥
怎麼/怎麽（怎么）,哪能
那麼/那麽（那么）,①連詞：个末【異：嗰~、個/箇~】【例】那麼我們去吃小籠包吧：个末阿拉去吃小籠饅頭𠲎 ②如此：介
幹嘛（干嘛）,做啥
陣（阵）,嗆（呛）
都,儕（侪）
在,垃【俗：勒、辣】、垃嗨【俗：垃海】、垃垃【異：垃啦】、垃垓【俗：垃該】
正在,垃嗨【俗：垃海】、垃垃【異：垃啦】、垃垓【俗：垃該】
和,搭【俗：*脫】、搭仔、跟
如果,如果、假使
而且,外加
掉,①~掉：~脫（~脱）【例】腦子壞掉了：腦子坏脫了 ②掉~：落~【例】掉下去了：落下去了
會兒（会儿）,脫歇（脱歇）【例】過一會兒：過脫歇
太,忒
這麽（这么）,介
很,老、邪氣（邪气）、交關（交关）、赫、~來死
非常,老、邪氣（邪气）、交關（交关）、赫、~來死
好,①好 ②非常：赫【例】好快：赫快
沒（没）,嘸沒（呒没）、嘸（呒）
不,勿【異：弗】
不要,覅、勿要
這下（这下）,乃末
上,①上 ②丄【俗：哴、浪】【例】早丄向、天丄
下,①下 ②天氣：落【例】落雨、落雪
東西（东西）,物事
事情,事體（事体）
時候（时候）,辰光
時間（时间）,辰光
以前,之前、老早
未來（未来）,將來（将来）
二十,廿
今天,今朝
明天,明朝
晚,晏
晚上,夜到
嗎,𠲎【俗：伐】
正經點（正经点）,好叫
正常點（正常点）,好叫
等一下,慢叫
學校（学校）,學堂（学堂）
胡,①亂：瞎【例】亂來：瞎來來 ②胡
胡説（胡说）,瞎講（瞎讲）
胡説八道（胡说八道）,瞎三話四（瞎三话四）、瞎七搭八
好久不見（好久不见）,長遠勿見（长远勿见）【異：長遠弗見（长远弗见）】
話（话）,①語言、方言：言話（言话）【俗：閒話（闲话）】【例】上海話：上海言话 ②話（话）
玩具,孛相杆
玩,孛相【俗：白相】
給（给）,撥（拨）【俗：畀】
撿（捡）,拾【例】撿便宜：拾皮夾子
比如,譬如、比方
覺得（觉得）,覺著（觉着）
趕緊（赶紧）,豪𢜶【俗：豪燥】
年輕（年轻）,後生（后生）、年紀輕（年纪轻）、年輕（年轻）
挺,很：蠻（蛮）
按,撳（揿）
摔,摜（掼）
扔,①摔、扔掉：摜（掼）【例】扔掉：摜脫 ②丟、投：厾
丟,厾
有趣,扎勁（扎劲）
擠（挤）,軋（轧）
暗示,豁翎子
搞砸,喇叭腔
過頭（过头）,豁邊（豁边）
豁出去了,橫竪橫，拆牛棚（横竖横，拆牛棚）
甩,甩【例】甩勿脫
拖,捱
躲,迓
藏,囥
站,立
瀉（泻）,惹
小便,拆尿、惹尿
大便,拆屙、惹屙【俗：惹汙（惹污）】
不負責任（不负责任）,拆爛汙(拆烂污)
腹瀉（腹泻）,肚皮惹
罰站（罚站）,立壁角（立壁角）
惹事,惹事體（惹事体）
尿床,惹尿出
擦,揩
丟臉（丢脸）,退招勢（退招势）
牽（牵）,攙（搀）
洗,汏
溢,潽
沖（冲）,①沖（冲） ②搖動：盪(*荡)
漱口,盪嘴巴
融化,烊
關門（关门）,打烊
睡覺（睡觉）,睏覺（困觉）
趟,埭【例】跑一趟：跑一埭
待,蹲
一下,一記（一记）、一下
清楚,清爽
乾净（干净）,清爽
髒（脏）,齷齪（龌龊）、膩心（腻心）
皴,老𪣩【俗：老坑】
讚（赞）,㜺(𫲗)
老練（老练）,老卵
厲害（厉害）,結棍（结棍）
拿手,老鬼
行,能幹：來三【異：唻噻】、來事
乞丐,告花子、癟三
差,肮三、差勁（差劲）、蹩脚
劣质,推扳【異：推板】、蹩脚
不咋地,推扳【異：推板】
糟糕,做得差：搭漿（搭浆）
鎮靜（镇静）,篤定（笃定）
傻,戇（戆）
傻瓜,戇大（戆大）
外行,洋盤（洋盘）
倔强,犟（犟）
固執（固执）,頭皮撬（头皮撬）
胡鬧（胡闹）,搞七捻三【異：攪七廿三】
亂來（乱来）,瞎來來（瞎来来）
胡搞,瞎烏搞（瞎乌搞）
囉嗦（啰嗦）,囉哩八嗦（啰哩八嗦）
無法無天（无法无天）,神之胡之【異：神之無之（神之无之）】
嚇人（吓人）,嚇人倒怪（吓人倒怪）
半夢半醒（半梦半醒）,睏思懵懂（困思懵懂）
喜歡（喜欢）,歡喜（欢喜）
嫌棄（嫌弃）,嫌鄙
討人厭（讨人厌）,觸氣（触气）
下流,下作、下作胚
疲倦,衰瘏
累,吃力
假,大興（大兴）
